"","Name","Brands","Discounted_Price","Original_Price","Ratings","Sponsorship"
"38","Women's Oversized T-Shirt Talk Data to Me - Data Scientist Funny 100% Cotton","Heybroh","360","1,299","3.7","Not Sponsered"
"39","Men's Solid Henley Neck Slim Fit Full Sleeve Cotton T-Shirt","Urbano Fashion","399","1,199","No Rating","Not Sponsered"
"40","Wisp Black Buttons Pure Cotton Henley T-Shirt | 100% Classic Collar Ideal for Casual Outings & Travel","KINGDOM OF WHITE","649","999","No Rating","Not Sponsered"
"41","Science T-shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Gravity Quote Physics , Chemistry , Computer Science, Engineering (Large, Dark Navy)","Qworld","499","999","No Rating","Not Sponsered"
"42","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Heisenberg Quote Physics, Chemistry, Engineering","Qworld","649","999","No Rating","Not Sponsered"
"43","Funny Accountant T-Shirt, Ohh This Calls for A Spreadsheet, Office Humor Tee, Spreadsheet Geek Gift, Casual Workwear, Unisex Shirt","Seek Buy Love","649","600","3.3","Not Sponsered"
"44","Men's Geometric Fitted T-Shirt","Reebok","449","1,599","No Rating","Not Sponsered"
"45","Funny Spreadsheet T-Shirt, Quirky Office Humor Tee, Excel Geek Graphic Shirt, Casual Work Apparel","Seek Buy Love","449","600","3.3","Not Sponsered"
"46","0017 T-Shirts for Men's","THE BLAZZE","449","233","No Rating","Not Sponsered"
"47","Relax Spreadsheet Funny T-Shirt, Accountant Financial Analyst Tee, Casual Office Humor Graphic Shirt, Unisex Cotton Top","Seek Buy Love","449","1,999","3.6","Not Sponsered"
"48","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with Formula of Avoid Negativity Quote Physics, Chemistry, Computer Science, Engineering","Qworld","449","600","No Rating","Not Sponsered"
"49","Women Printed Regular Fit T-Shirt |Tech Printed T-Shirt |Tech Printed T-Shirt for Girls | Printed Top for Girls |Tech Cotton T-Shirt Yellow","JAVA IMPRESSIONS","399","999","No Rating","Not Sponsered"
"50","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Biology Quote Physics, Chemistry, Computer Science, Engineering","Qworld","582","899","4.5","Not Sponsered"
"51","Graphic Printed T-Shirt for Men & Women | Reboot Sucsess Original T-Shirt Funny Quotes Gifts for Friends Birthday Friendship Day etc.","Workshop","599","999","No Rating","Not Sponsered"
"52","Bank of Baroda Logo Printed Polo/Collar Half Sleeve T-Shirt for Bank of Baroda Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","499","999","No Rating","Not Sponsered"
"53","Men's Solid Slim Fit T-Shirt (OR17_Capri Blue L)","TECHNOSPORT","519","1,299","5.0","Not Sponsered"
"54","ICICI Bank Logo Printed Polo/Collar Half Sleeve T-Shirt for ICICI Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","449","1,299","No Rating","Not Sponsered"
"55","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with Mathematics Quote Physics, Chemistry, Computer Science, Engineering","Qworld","649","999","5.0","Not Sponsered"
"56","Limited Edition Men's Round Neck T-Shirt - ROAS Expression Graphic 200gsm+ Super Combed Cotton Wine TShirts Casual & Stylish Digital & Performance Marketer Lounge & Work Printed Tee","ABLING","649","1,499","No Rating","Not Sponsered"
"57","Science T-shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women , Half Sleeve with Formula of Avoid Negativity Quote Physics , Chemistry , Computer Science , Engineering (Medium, Dark Navy)","Qworld","399","999","2.7","Not Sponsered"
"58","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Gravity Quote Physics, Chemistry, Computer Science, Engineering (Small, Dark Navy)","Qworld","399","999","3.7","Sponsered"
"59","Men's Regular Fit T-Shirt","ADRO","519","1,499","3.8","Sponsered"
"60","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Science Formula","Caseria","552","999","3.8","Sponsered"
"61","Tshirt for Men | Printed T Shirt for Men | 100% Cotton Regular Fit T-Shirt |Printed T Shirt","ADRO","749","1,499","3.8","Sponsered"
"62","Men's Regular Fit T-Shirt","ADRO","799","1,499","4.2","Sponsered"
"63","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Chemistry Jokes","Caseria","499","999","4.2","Sponsered"
"64","Sports T Shirt for Men Quick Dry Fit Regular Fit Tshirt for Men Gym T Shirts for Men for Casual Wear Workout T Shirts for Man Active Gym Wear for Men Running T-Shirts for Men T Shirt for Man","Boldfit","1,299","999","4.1","Sponsered"
"65","Men Athleisure Smart Tech T-Shirt - Easy Stain Release, Anti Stat, Ultra Soft","Van Heusen","499","599","5.0","Sponsered"
"66","Men's Graphic Printed Oversized Loose Fit Heavy Cotton T-Shirt","NOBERO","395","999","4.2","Sponsered"
"67","Men Cotton Feel Super Stretchy Slim fit Polyester T Shirt","DOMIN8","567","1,499","No Rating","Sponsered"
"68","Men's Solid Regular Fit T-Shirt","DAMENSCH","399","599","No Rating","Sponsered"
"69","Divra Clothing Regular Fit Comfortable Pure Cotton Round Neck T-Shirt Tee for Men & Boys","HOODMASTAR","649","1,299","No Rating","Not Sponsered"
"70","Men's Solid Regular Fit T-Shirt","DOMIN8","395","1,299","3.5","Not Sponsered"
